open,high,low,close,volume,macd1,macd_signal1,macd_hist1,macd2,macd_signal2,macd_hist2,slow_k,slow_d
107.00500,107.38000,106.92000,107.30880,3954579,0.25788,0.15651,0.10137,0.32198,0.19257,0.12941,95.49381,88.95675
106.95000,107.14000,106.88000,107.00500,1632813,0.21411,0.13117,0.08294,0.26690,0.16022,0.10668,87.31859,84.78512
106.92000,107.08000,106.85000,106.96000,1099411,0.18606,0.11043,0.07562,0.23266,0.13355,0.09911,84.05785,85.51503
106.86500,107.18000,106.72000,106.94000,1492990,0.15213,0.09153,0.06061,0.18972,0.10877,0.08095,82.97892,76.77674
106.34000,107.00000,106.31000,106.86990,1957606,0.10866,0.07638,0.03228,0.13251,0.08853,0.04398,89.50833,60.95608
106.03000,106.36000,105.95000,106.35000,1028268,0.05872,0.06831,-0.00959,0.06462,0.07754,-0.01292,57.84297,48.07394
106.21000,106.34000,106.02000,106.03200,1031963,0.04707,0.07070,-0.02364,0.04778,0.08077,-0.03299,35.51693,36.83892
105.88190,106.26000,105.86000,106.21000,1099025,0.06388,0.07661,-0.01273,0.06994,0.08902,-0.01907,50.86193,38.10918
106.08000,106.15000,105.84000,105.90000,858702,0.06630,0.07979,-0.01349,0.07263,0.09379,-0.02115,24.13791,44.14365
106.42000,106.42000,105.80000,106.07620,1845466,0.09998,0.08317,0.01681,0.11898,0.09907,0.01991,39.32769,66.70109
106.68000,106.68990,106.39000,106.42000,809449,0.12357,0.07896,0.04461,0.15298,0.09410,0.05889,68.96536,79.78233
106.38000,106.78000,106.32500,106.68500,1362883,0.11688,0.06781,0.04907,0.14625,0.07938,0.06688,91.81021,80.26657
106.32000,106.42000,106.18000,106.39000,674193,0.07967,0.05554,0.02412,0.09708,0.06266,0.03443,78.57143,65.98625
106.09010,106.44000,106.06000,106.31010,871464,0.06104,0.04951,0.01153,0.07241,0.05405,0.01836,70.41806,67.00662
106.41000,106.42800,106.04000,106.09990,765043,0.04451,0.04663,-0.00212,0.04991,0.04946,0.00045,48.96925,58.84002
106.08000,106.45000,106.07000,106.42000,970448,0.04417,0.04716,-0.00299,0.04922,0.04935,-0.00013,81.63254,48.97937
105.79000,106.08920,105.77000,106.07000,712458,0.01050,0.04791,-0.03740,0.00191,0.04938,-0.04747,45.91826,30.27196
105.86960,106.02000,105.76000,105.81000,706893,0.00301,0.05726,-0.05424,-0.01080,0.06125,-0.07204,19.38731,21.41144
105.81000,106.08000,105.80950,105.87000,756272,0.01988,0.07082,-0.05093,0.00960,0.07926,-0.06966,25.51032,19.84649
105.72000,105.80990,105.62000,105.80950,751918,0.03502,0.08355,-0.04853,0.02783,0.09667,-0.06885,19.33671,23.89755
105.95000,105.97000,105.70000,105.71280,733559,0.05998,0.09568,-0.03570,0.05999,0.11388,-0.05389,14.69244,33.79819
106.06500,106.15000,105.81000,105.95170,851581,0.10082,0.10461,-0.00378,0.11513,0.12736,-0.01223,37.66350,51.31741
106.25000,106.26000,106.01000,106.07000,755760,0.12716,0.10555,0.02161,0.15190,0.13041,0.02148,49.03862,69.07157
106.50010,106.53990,106.19100,106.25940,699236,0.14688,0.10015,0.04673,0.18090,0.12504,0.05586,67.25012,80.80879
106.41500,106.60000,106.26000,106.50200,760865,0.15062,0.08847,0.06215,0.18903,0.11108,0.07796,90.92598,87.96976
106.40000,106.60000,106.16050,106.42990,1101263,0.12852,0.07293,0.05558,0.16191,0.09159,0.07032,84.25027,75.54541
106.03750,106.43000,106.03540,106.38000,887986,0.10577,0.05904,0.04673,0.13347,0.07401,0.05946,88.73303,68.09777
106.13500,106.19000,105.88000,106.04000,667867,0.08028,0.04735,0.03292,0.10066,0.05915,0.04152,53.65293,68.30427
106.38500,106.40000,106.00000,106.12000,932577,0.08119,0.03912,0.04207,0.10392,0.04877,0.05516,61.90735,81.37231
106.04000,106.48920,106.01000,106.38600,997680,0.07303,0.02861,0.04442,0.09500,0.03498,0.06002,89.35254,90.79606
106.02500,106.05000,105.89000,106.04000,496057,0.03447,0.01750,0.01697,0.04370,0.01997,0.02373,92.85705,79.34513
105.84990,106.07000,105.81010,106.02500,954804,0.01998,0.01326,0.00672,0.02441,0.01404,0.01037,90.17861,62.83720
105.77000,105.88000,105.66000,105.85000,508740,0.00272,0.01158,-0.00886,0.00066,0.01145,-0.01079,54.99975,44.40008
105.73000,105.85000,105.56000,105.78000,613008,-0.00153,0.01379,-0.01533,-0.00582,0.01414,-0.01997,43.33325,42.15579
105.81000,105.85000,105.65000,105.72920,371711,0.00019,0.01762,-0.01743,-0.00432,0.01914,-0.02345,34.86725,42.15579
105.79000,105.89000,105.69000,105.80960,470468,0.00756,0.02198,-0.01442,0.00497,0.02500,-0.02003,48.26687,39.97804
105.69000,105.86000,105.57000,105.78000,563768,0.00868,0.02559,-0.01691,0.00571,0.03001,-0.02430,43.33325,33.24558
105.70000,105.74500,105.52000,105.69000,558787,0.01299,0.02981,-0.01683,0.01079,0.03608,-0.02529,28.33401,41.54618
105.86000,105.91000,105.58010,105.71000,625823,0.02746,0.03402,-0.00656,0.03011,0.04241,-0.01230,28.06949,58.37994
105.95500,105.97000,105.78000,105.85000,491788,0.04350,0.03566,0.00783,0.05222,0.04548,0.00674,68.23502,76.21561
105.96500,106.04000,105.80000,105.94010,530707,0.04908,0.03371,0.01537,0.06058,0.04379,0.01678,78.83531,72.29802
105.77000,105.98000,105.72010,105.96340,461322,0.04631,0.02986,0.01645,0.05772,0.03960,0.01812,81.57649,71.91356
105.95000,106.01000,105.73000,105.75010,605410,0.03974,0.02575,0.01399,0.04960,0.03507,0.01453,56.48225,71.78012
105.96000,106.08000,105.92000,105.93030,657313,0.05249,0.02225,0.03024,0.06834,0.03144,0.03690,77.68194,80.99187
105.98000,106.01990,105.78000,105.96000,543508,0.04966,0.01469,0.03497,0.06623,0.02221,0.04402,81.17617,87.68200
106.05000,106.12000,105.94000,105.98500,634032,0.04229,0.00595,0.03634,0.05805,0.01120,0.04685,84.11751,79.01415
105.66000,106.08000,105.65000,106.06000,1070503,0.02973,-0.00314,0.03286,0.04266,-0.00051,0.04317,97.75233,78.94437
105.92500,105.94990,105.55000,105.66000,628811,0.00562,-0.01135,0.01698,0.01092,-0.01130,0.02222,55.17263,73.21068
105.89000,106.01000,105.82000,105.91000,541808,0.01550,-0.01560,0.03110,0.02572,-0.01686,0.04258,83.90817,82.84355
105.92000,105.99990,105.73000,105.88080,579379,0.00243,-0.02337,0.02581,0.00925,-0.02750,0.03675,80.55124,79.78649
105.90010,106.05000,105.86000,105.92000,662401,-0.01131,-0.02982,0.01852,-0.00851,-0.03669,0.02818,84.07125,68.23079
105.62020,105.90000,105.58000,105.89000,496539,-0.03268,-0.03445,0.00178,-0.03738,-0.04373,0.00635,74.73699,45.99656
105.36000,105.69000,105.27000,105.61590,632512,-0.05642,-0.03490,-0.02152,-0.07055,-0.04532,-0.02523,45.88413,31.97904
105.49500,105.49900,105.29000,105.34500,612887,-0.05800,-0.02952,-0.02848,-0.07410,-0.03901,-0.03509,17.36857,37.49498
105.79990,105.82000,105.49000,105.49050,570430,-0.03158,-0.02240,-0.00919,-0.03895,-0.03024,-0.00870,32.68443,58.37576
105.95000,105.97000,105.64530,105.77310,528747,-0.01223,-0.02010,0.00787,-0.01254,-0.02807,0.01553,62.43194,71.09554
105.86000,105.99000,105.77000,105.94010,411775,-0.01611,-0.02207,0.00595,-0.01765,-0.03195,0.01430,80.01092,71.19552
105.90000,106.00000,105.73000,105.86010,824237,-0.03785,-0.02356,-0.01429,-0.04784,-0.03552,-0.01232,70.84376,50.77517
105.39000,105.91000,105.36330,105.88260,729640,-0.05689,-0.01998,-0.03690,-0.07545,-0.03244,-0.04301,62.73186,27.75571
105.19000,105.56000,105.19000,105.39000,586956,-0.08265,-0.01076,-0.07190,-0.11377,-0.02169,-0.09208,18.74987,8.42397
105.38000,105.38890,105.18000,105.20000,613162,-0.06418,0.00722,-0.07140,-0.09226,0.00133,-0.09359,1.78541,3.46836
105.55990,105.66000,105.35000,105.39500,809273,-0.02033,0.02507,-0.04540,-0.03520,0.02473,-0.05993,4.73663,15.98704
105.81730,105.83970,105.53000,105.55990,414336,0.01608,0.03641,-0.02033,0.01300,0.03971,-0.02670,3.88304,37.34682
106.05500,106.06020,105.66000,105.83900,516655,0.04554,0.04150,0.00404,0.05295,0.04638,0.00657,39.34146,57.10485
105.98970,106.13000,105.93080,106.06300,508538,0.05405,0.04049,0.01356,0.06504,0.04474,0.02030,68.81594,57.58738
