open,high,low,close,volume,macd1,macd_signal1,macd_hist1,macd2,macd_signal2,macd_hist2,slow_k,slow_d
112.55000,112.59950,112.08000,112.34000,4931681,-0.47754,-0.40901,-0.06853,-0.56627,-0.49544,-0.07084,14.36436,20.07694
112.64000,112.66920,112.50000,112.55950,1298002,-0.46604,-0.39188,-0.07416,-0.55478,-0.47773,-0.07705,21.52074,20.49721
112.47000,112.70000,112.38000,112.63500,1482009,-0.46694,-0.37334,-0.09360,-0.56095,-0.45847,-0.10249,24.34571,17.41171
112.44000,112.78000,112.41000,112.47000,1438307,-0.46899,-0.34994,-0.11904,-0.56987,-0.43285,-0.13703,15.62517,10.11351
112.56500,112.57000,112.17000,112.43000,2246905,-0.44797,-0.32018,-0.12779,-0.54805,-0.39859,-0.14946,12.26424,8.98320
112.92000,112.94990,112.52000,112.57000,1120537,-0.41056,-0.28824,-0.12232,-0.50381,-0.36122,-0.14259,2.45113,11.45546
113.06000,113.12000,112.88000,112.91000,1008910,-0.37109,-0.25765,-0.11344,-0.45637,-0.32558,-0.13079,12.23424,12.28526
112.83000,113.12000,112.68000,113.05000,1248655,-0.34994,-0.22930,-0.12064,-0.43399,-0.29288,-0.14111,19.68103,10.14514
113.00000,113.05000,112.75060,112.84000,1210149,-0.33210,-0.19914,-0.13296,-0.41664,-0.25760,-0.15904,4.94053,15.02923
113.61000,113.63250,112.90000,113.00000,1945992,-0.28312,-0.16590,-0.11722,-0.35647,-0.21784,-0.13864,5.81386,22.40199
113.58010,113.74500,113.50000,113.63500,698543,-0.23278,-0.13659,-0.09619,-0.29347,-0.18318,-0.11029,34.33329,22.42091
113.21000,113.67500,113.20000,113.58000,677296,-0.22979,-0.11254,-0.11725,-0.29539,-0.15561,-0.13979,27.05882,11.21325
113.53500,113.56000,113.12000,113.21980,1925700,-0.21704,-0.08323,-0.13381,-0.28486,-0.12066,-0.16420,5.87061,7.86737
113.83000,113.89000,113.52000,113.53030,840470,-0.16093,-0.04978,-0.11115,-0.21467,-0.07961,-0.13506,0.71032,8.94082
113.92000,113.97990,113.61000,113.85000,836560,-0.11858,-0.02199,-0.09659,-0.16236,-0.04585,-0.11651,17.02117,9.99710
113.88000,114.08000,113.81000,113.92000,551844,-0.09536,0.00216,-0.09752,-0.13589,-0.01672,-0.11916,9.09097,5.88111
113.99000,114.09000,113.86000,113.90500,947410,-0.07147,0.02654,-0.09800,-0.10848,0.01307,-0.12155,3.87917,9.96552
114.21500,114.29000,113.95000,114.00000,641134,-0.03840,0.05104,-0.08944,-0.06825,0.04346,-0.11171,4.67318,17.90323
114.31000,114.56000,114.16000,114.22000,1153234,-0.00531,0.07340,-0.07870,-0.02744,0.07139,-0.09883,21.34422,26.16608
114.30000,114.35000,114.05000,114.31000,531800,0.01461,0.09307,-0.07847,-0.00438,0.09609,-0.10047,27.69229,19.89477
114.12000,114.33300,113.95000,114.33300,735710,0.03065,0.11269,-0.08204,0.01335,0.12121,-0.10786,29.46172,14.17073
114.39000,114.46000,114.10000,114.12910,585606,0.04833,0.13320,-0.08486,0.03324,0.14818,-0.11494,2.53030,9.08343
114.40000,114.62000,114.27000,114.35520,567951,0.09097,0.15442,-0.06345,0.08790,0.17691,-0.08902,10.52017,13.97460
114.50000,114.50000,114.25000,114.39200,478804,0.12104,0.17028,-0.04924,0.12633,0.19917,-0.07284,14.19983,27.83532
114.69000,114.82000,114.35020,114.50500,686784,0.15391,0.18259,-0.02867,0.16959,0.21738,-0.04779,17.20381,39.88951
114.53500,114.70000,114.36000,114.68960,766161,0.18213,0.18976,-0.00763,0.20759,0.22932,-0.02173,52.10233,60.77453
114.94000,114.97000,114.56000,114.56500,538119,0.19670,0.19166,0.00503,0.22782,0.23476,-0.00694,50.36240,66.44739
114.78500,115.02000,114.71000,114.94990,606473,0.22512,0.19040,0.03471,0.26819,0.23649,0.03170,79.85888,70.41265
